5.505000000000000;A1;C03;    · Average throughput = 7.75 Mbps
5.505000000000000;A1;C03;    · Average delay = 0.0165 s
5.505000000000000;A1;C03;    · Maximum delay = 0.0689 s
5.505000000000000;A1;C03;    · Minimum delay = 0.0001 s
5.505000000000000;A1;C03;    · Associated reward = 0.176684
5.505000000000000;A1;F00; ComputeNewConfiguration()
5.505000000000000;A1;F00; SendNewConfigurationToAp()
5.505000000000000;A1;C03;  - Action (1):
5.505000000000000;A1;C03;    · channel = 1
5.505000000000000;A1;C03;    · cca = -82.000000 dBm
5.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.505000000000000;A1;C03;    · max_bandwidth = 1
5.505000000000000;A1;C00;  - Next request to be sent at 6.005000
6.005000000000000;A1;F00; RequestInformationToAp() (request #11)
6.005000000000000;A1;F00; InportReceivingInformationFromAp()
6.005000000000000;A1;C03;  - Action (1):
6.005000000000000;A1;C03;    · channel = 1
6.005000000000000;A1;C03;    · cca = -82.000000 dBm
6.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.005000000000000;A1;C03;    · max_bandwidth = 1
6.005000000000000;A1;C03;  - Performance:
6.005000000000000;A1;C03;    · Average throughput = 3.19 Mbps
6.005000000000000;A1;C03;    · Average delay = 0.0101 s
6.005000000000000;A1;C03;    · Maximum delay = 0.1376 s
6.005000000000000;A1;C03;    · Minimum delay = 0.0001 s
6.005000000000000;A1;C03;    · Associated reward = 0.072752
6.005000000000000;A1;F00; ComputeNewConfiguration()
6.005000000000000;A1;F00; SendNewConfigurationToAp()
6.005000000000000;A1;C03;  - Action (0):
6.005000000000000;A1;C03;    · channel = 0
6.005000000000000;A1;C03;    · cca = -82.000000 dBm
6.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.005000000000000;A1;C03;    · max_bandwidth = 1
6.005000000000000;A1;C00;  - Next request to be sent at 6.505000
6.505000000000000;A1;F00; RequestInformationToAp() (request #12)
6.505000000000000;A1;F00; InportReceivingInformationFromAp()
6.505000000000000;A1;C03;  - Action (0):
6.505000000000000;A1;C03;    · channel = 0
6.505000000000000;A1;C03;    · cca = -82.000000 dBm
6.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.505000000000000;A1;C03;    · max_bandwidth = 1
6.505000000000000;A1;C03;  - Performance:
6.505000000000000;A1;C03;    · Average throughput = 9.12 Mbps
6.505000000000000;A1;C03;    · Average delay = 0.0047 s
6.505000000000000;A1;C03;    · Maximum delay = 0.0461 s
6.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
6.505000000000000;A1;C03;    · Associated reward = 0.207863
6.505000000000000;A1;F00; ComputeNewConfiguration()
6.505000000000000;A1;F00; SendNewConfigurationToAp()
6.505000000000000;A1;C03;  - Action (1):
6.505000000000000;A1;C03;    · channel = 1
6.505000000000000;A1;C03;    · cca = -82.000000 dBm
6.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.505000000000000;A1;C03;    · max_bandwidth = 1
